J-Date,Date,Weekday,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
1403-01-05,2024-03-24,Sunday,4330,4529,4330,4526,4493,12666629,56906246387,922,تلیسه,دامداری تلیسه نمونه,فرابورس,3263,3413,3263,3411,3386
1403-01-06,2024-03-25,Monday,4545,4586,4380,4412,4486,14160430,63530569798,1090,تلیسه,دامداری تلیسه نمونه,فرابورس,3425,3456,3301,3325,3381
1403-01-07,2024-03-26,Tuesday,4475,4475,4277,4410,4388,9409329,41286072714,793,تلیسه,دامداری تلیسه نمونه,فرابورس,3372,3372,3223,3323,3307
1403-01-08,2024-03-27,Wednesday,4410,4500,4339,4399,4395,15042601,66115719805,907,تلیسه,دامداری تلیسه نمونه,فرابورس,3323,3391,3270,3315,3312
1403-01-11,2024-03-30,Saturday,4384,4480,4302,4357,4351,9920785,43161731434,816,تلیسه,دامداری تلیسه نمونه,فرابورس,3304,3376,3242,3283,3279
1403-01-14,2024-04-02,Tuesday,4313,4313,4115,4160,4179,12100433,50572954005,1171,تلیسه,دامداری تلیسه نمونه,فرابورس,3250,3250,3101,3135,3149
1403-01-15,2024-04-03,Wednesday,4238,4286,4155,4181,4207,8836582,37171635250,777,تلیسه,دامداری تلیسه نمونه,فرابورس,3194,3230,3131,3151,3170
1403-01-18,2024-04-06,Saturday,4190,4190,3913,3930,3984,30036847,119673913898,2015,تلیسه,دامداری تلیسه نمونه,فرابورس,3158,3158,2949,2962,3002
1403-01-21,2024-04-09,Tuesday,4013,4262,4013,4262,4228,23463985,99200542934,1167,تلیسه,دامداری تلیسه نمونه,فرابورس,3024,3212,3024,3212,3186
1403-01-25,2024-04-13,Saturday,4135,4250,3933,3933,3982,22197308,88387537626,1772,تلیسه,دامداری تلیسه نمونه,فرابورس,3116,3203,2964,2964,3001
1403-01-26,2024-04-14,Sunday,3943,3943,3943,3943,3943,7995947,31528019021,215,تلیسه,دامداری تلیسه نمونه,فرابورس,2971,2971,2971,2971,2971
1403-01-27,2024-04-15,Monday,3904,3982,3904,3982,3960,6615892,26197273528,188,تلیسه,دامداری تلیسه نمونه,فرابورس,2942,3001,2942,3001,2984
1403-01-28,2024-04-16,Tuesday,3999,3999,3921,3961,3939,13602202,53573665521,576,تلیسه,دامداری تلیسه نمونه,فرابورس,3014,3014,2955,2985,2968
1403-01-29,2024-04-17,Wednesday,3916,3978,3916,3978,3974,9628597,38263818158,503,تلیسه,دامداری تلیسه نمونه,فرابورس,2951,2998,2951,2998,2995
1403-02-01,2024-04-20,Saturday,4147,4252,4100,4252,4238,16899090,71623514046,883,تلیسه,دامداری تلیسه نمونه,فرابورس,3125,3204,3090,3204,3194
1403-02-02,2024-04-21,Sunday,4300,4450,4200,4210,4295,16929012,72704170064,1064,تلیسه,دامداری تلیسه نمونه,فرابورس,3240,3354,3165,3173,3237
1403-02-03,2024-04-22,Monday,4201,4291,4135,4183,4223,10196105,43062677907,752,تلیسه,دامداری تلیسه نمونه,فرابورس,3166,3234,3116,3152,3182
1403-02-04,2024-04-23,Tuesday,4275,4400,4227,4251,4285,11211528,48038201131,767,تلیسه,دامداری تلیسه نمونه,فرابورس,3222,3316,3185,3204,3229
1403-02-05,2024-04-24,Wednesday,4311,4368,4252,4284,4306,11916312,51310371799,865,تلیسه,دامداری تلیسه نمونه,فرابورس,3249,3292,3204,3228,3245
1403-02-08,2024-04-27,Saturday,4350,4589,4306,4430,4473,29423921,131626704499,1953,تلیسه,دامداری تلیسه نمونه,فرابورس,3278,3458,3245,3338,3371
1403-02-09,2024-04-28,Sunday,4411,4442,4272,4320,4338,7886462,34209553254,875,تلیسه,دامداری تلیسه نمونه,فرابورس,3324,3348,3219,3256,3269
1403-02-10,2024-04-29,Monday,4372,4372,4227,4239,4300,7517709,32329721139,616,تلیسه,دامداری تلیسه نمونه,فرابورس,3295,3295,3185,3194,3240
1403-02-11,2024-04-30,Tuesday,4270,4300,4111,4159,4180,8117643,33933550630,646,تلیسه,دامداری تلیسه نمونه,فرابورس,3218,3240,3098,3134,3150
1403-02-12,2024-05-01,Wednesday,4150,4250,4150,4199,4218,3709025,15642952193,391,تلیسه,دامداری تلیسه نمونه,فرابورس,3127,3203,3127,3164,3179
1403-02-16,2024-05-05,Sunday,4210,4340,4203,4239,4266,4434795,18917576595,427,تلیسه,دامداری تلیسه نمونه,فرابورس,3173,3271,3167,3194,3215
1403-02-17,2024-05-06,Monday,4284,4284,4155,4161,4184,3912220,16368032746,391,تلیسه,دامداری تلیسه نمونه,فرابورس,3228,3228,3131,3136,3153
1403-02-18,2024-05-07,Tuesday,4245,4245,4100,4187,4131,3863809,15962259417,379,تلیسه,دامداری تلیسه نمونه,فرابورس,3199,3199,3090,3155,3113
1403-02-19,2024-05-08,Wednesday,4140,4198,4104,4139,4118,4306076,17732383085,373,تلیسه,دامداری تلیسه نمونه,فرابورس,3120,3164,3093,3119,3103
1403-02-22,2024-05-11,Saturday,4120,4177,4000,4047,4062,6022324,24464139247,524,تلیسه,دامداری تلیسه نمونه,فرابورس,3105,3148,3014,3050,3061
1403-02-23,2024-05-12,Sunday,4011,4169,3880,3918,3943,18304266,72165122436,1025,تلیسه,دامداری تلیسه نمونه,فرابورس,3023,3142,2924,2953,2971
1403-02-24,2024-05-13,Monday,3988,3988,3706,3873,3795,13456726,51072421850,929,تلیسه,دامداری تلیسه نمونه,فرابورس,3005,3005,2793,2919,2860
1403-02-25,2024-05-14,Tuesday,3935,3949,3790,3800,3853,6767472,26075973882,503,تلیسه,دامداری تلیسه نمونه,فرابورس,2965,2976,2856,2864,2904
1403-02-26,2024-05-15,Wednesday,3753,3890,3700,3850,3792,6239393,23659327111,551,تلیسه,دامداری تلیسه نمونه,فرابورس,2828,2931,2788,2901,2858
1403-02-29,2024-05-18,Saturday,3777,3890,3775,3775,3818,4044198,15441170040,389,تلیسه,دامداری تلیسه نمونه,فرابورس,2846,2931,2845,2845,2877
1403-02-30,2024-05-19,Sunday,3775,3775,3551,3649,3600,11766536,42359175959,635,تلیسه,دامداری تلیسه نمونه,فرابورس,2845,2845,2676,2750,2713
1403-03-01,2024-05-21,Tuesday,3670,3672,3616,3672,3665,4905654,17980601269,362,تلیسه,دامداری تلیسه نمونه,فرابورس,2766,2767,2725,2767,2762
1403-03-05,2024-05-25,Saturday,3738,3738,3592,3620,3659,8666025,31713227985,541,تلیسه,دامداری تلیسه نمونه,فرابورس,2817,2817,2707,2728,2757
1403-03-06,2024-05-26,Sunday,3600,3685,3586,3586,3586,6046778,21685175030,291,تلیسه,دامداری تلیسه نمونه,فرابورس,2713,2777,2702,2702,2702
1403-03-07,2024-05-27,Monday,3530,3600,3515,3599,3525,8970435,31624970058,563,تلیسه,دامداری تلیسه نمونه,فرابورس,2660,2713,2649,2712,2656
1403-03-08,2024-05-28,Tuesday,3590,3595,3590,3595,3595,3238029,11640694211,224,تلیسه,دامداری تلیسه نمونه,فرابورس,2705,2709,2705,2709,2709
1403-03-09,2024-05-29,Wednesday,3666,3666,3665,3666,3666,2607897,9560549198,197,تلیسه,دامداری تلیسه نمونه,فرابورس,2763,2763,2762,2763,2763
1403-03-12,2024-06-01,Saturday,3739,3739,3593,3611,3658,6739325,24654833067,435,تلیسه,دامداری تلیسه نمونه,فرابورس,2818,2818,2708,2721,2757
1403-03-13,2024-06-02,Sunday,3679,3679,3585,3610,3588,4948474,17754842886,300,تلیسه,دامداری تلیسه نمونه,فرابورس,2772,2772,2702,2720,2704
1403-03-16,2024-06-05,Wednesday,3521,3590,3517,3518,3525,5941114,20940348421,384,تلیسه,دامداری تلیسه نمونه,فرابورس,2653,2705,2650,2651,2656
1403-03-19,2024-06-08,Saturday,3490,3517,3455,3455,3457,7564266,26148939746,388,تلیسه,دامداری تلیسه نمونه,فرابورس,2630,2650,2604,2604,2605
1403-03-20,2024-06-09,Sunday,3457,3526,3428,3490,3481,4684670,16305412868,395,تلیسه,دامداری تلیسه نمونه,فرابورس,2605,2657,2583,2630,2623
1403-03-21,2024-06-10,Monday,3510,3550,3510,3550,3550,2899325,10292044359,167,تلیسه,دامداری تلیسه نمونه,فرابورس,2645,2675,2645,2675,2675
1403-03-22,2024-06-11,Tuesday,3551,3619,3521,3555,3563,2911719,10373973810,518,تلیسه,دامداری تلیسه نمونه,فرابورس,2676,2727,2653,2679,2685
1403-03-23,2024-06-12,Wednesday,3614,3614,3520,3594,3548,3153833,11189256278,491,تلیسه,دامداری تلیسه نمونه,فرابورس,2723,2723,2653,2708,2674
1403-03-26,2024-06-15,Saturday,3610,3610,3506,3522,3559,6158920,21920451864,500,تلیسه,دامداری تلیسه نمونه,فرابورس,2720,2720,2642,2654,2682
1403-03-27,2024-06-16,Sunday,3496,3560,3488,3488,3496,7514472,26272782064,1343,تلیسه,دامداری تلیسه نمونه,فرابورس,2634,2683,2628,2628,2634
1403-03-29,2024-06-18,Tuesday,3530,3559,3501,3502,3520,3582760,12609735191,718,تلیسه,دامداری تلیسه نمونه,فرابورس,2660,2682,2638,2639,2653
1403-03-30,2024-06-19,Wednesday,3480,3563,3480,3540,3527,2406278,8488034495,185,تلیسه,دامداری تلیسه نمونه,فرابورس,2622,2685,2622,2668,2658
1403-04-02,2024-06-22,Saturday,3531,3575,3531,3537,3550,1957790,6949669647,228,تلیسه,دامداری تلیسه نمونه,فرابورس,2661,2694,2661,2665,2675
1403-04-03,2024-06-23,Sunday,3570,3598,3496,3596,3559,5247865,18674586701,651,تلیسه,دامداری تلیسه نمونه,فرابورس,2690,2711,2634,2710,2682
1403-04-04,2024-06-24,Monday,3618,3630,3532,3630,3613,2453715,8864295227,231,تلیسه,دامداری تلیسه نمونه,فرابورس,2726,2735,2662,2735,2723
1403-04-06,2024-06-26,Wednesday,3641,3685,3640,3685,3683,3261409,12010507551,185,تلیسه,دامداری تلیسه نمونه,فرابورس,2744,2777,2743,2777,2775
1403-04-09,2024-06-29,Saturday,3721,3840,3668,3669,3738,3612307,13501001053,307,تلیسه,دامداری تلیسه نمونه,فرابورس,2804,2894,2764,2765,2817
1403-04-10,2024-06-30,Sunday,3745,3749,3514,3514,3525,5532608,19503360430,478,تلیسه,دامداری تلیسه نمونه,فرابورس,2822,2825,2648,2648,2656
1403-04-11,2024-07-01,Monday,3339,3589,3339,3549,3490,2443116,8525819473,256,تلیسه,دامداری تلیسه نمونه,فرابورس,2516,2705,2516,2674,2630
1403-04-12,2024-07-02,Tuesday,3540,3640,3490,3557,3566,2479159,8841354047,248,تلیسه,دامداری تلیسه نمونه,فرابورس,2668,2743,2630,2680,2687
1403-04-13,2024-07-03,Wednesday,3601,3628,3549,3600,3590,2513853,9025921297,341,تلیسه,دامداری تلیسه نمونه,فرابورس,2714,2734,2674,2713,2705
1403-04-16,2024-07-06,Saturday,3805,3805,3805,3805,3805,1503101,5719299305,93,تلیسه,دامداری تلیسه نمونه,فرابورس,2867,2867,2867,2867,2867
1403-04-17,2024-07-07,Sunday,3850,4000,3819,3870,3864,8658958,33459101669,569,تلیسه,دامداری تلیسه نمونه,فرابورس,2901,3014,2878,2916,2912
1403-04-18,2024-07-08,Monday,3929,3949,3770,3929,3878,4898181,18997569887,447,تلیسه,دامداری تلیسه نمونه,فرابورس,2961,2976,2841,2961,2922
1403-04-19,2024-07-09,Tuesday,3979,4000,3881,3881,3944,4714553,18591969639,376,تلیسه,دامداری تلیسه نمونه,فرابورس,2999,3014,2925,2925,2972
1403-04-20,2024-07-10,Wednesday,3812,3896,3756,3786,3814,2982914,11377127165,271,تلیسه,دامداری تلیسه نمونه,فرابورس,2873,2936,2830,2853,2874
1403-04-23,2024-07-13,Saturday,3770,3770,3646,3646,3676,4343908,15970336082,442,تلیسه,دامداری تلیسه نمونه,فرابورس,2841,2841,2748,2748,2770
1403-04-24,2024-07-14,Sunday,3739,3739,3542,3645,3611,6427362,23209902562,537,تلیسه,دامداری تلیسه نمونه,فرابورس,2818,2818,2669,2747,2721
1403-04-31,2024-07-21,Sunday,3318,3318,2960,3178,3129,3224236,10089501696,250,تلیسه,دامداری تلیسه نمونه,فرابورس,2884,2884,2573,2762,2719
1403-05-01,2024-07-22,Monday,3252,3287,3167,3210,3200,5593864,17899105639,562,تلیسه,دامداری تلیسه نمونه,فرابورس,2826,2857,2752,2790,2781
1403-05-02,2024-07-23,Tuesday,3272,3273,3230,3251,3246,4815193,15632281356,395,تلیسه,دامداری تلیسه نمونه,فرابورس,2844,2845,2807,2825,2821
1403-05-03,2024-07-24,Wednesday,3252,3270,3181,3258,3237,4527109,14655410784,278,تلیسه,دامداری تلیسه نمونه,فرابورس,2826,2842,2765,2832,2813
1403-05-06,2024-07-27,Saturday,3290,3400,3240,3392,3308,5106792,16892003759,534,تلیسه,دامداری تلیسه نمونه,فرابورس,2859,2955,2816,2948,2875
1403-05-08,2024-07-29,Monday,3345,3376,3223,3240,3274,4600495,15060522330,385,تلیسه,دامداری تلیسه نمونه,فرابورس,2907,2934,2801,2816,2845
1403-05-09,2024-07-30,Tuesday,3179,3338,3179,3252,3242,3216788,10430384372,341,تلیسه,دامداری تلیسه نمونه,فرابورس,2763,2901,2763,2826,2818
1403-05-10,2024-07-31,Wednesday,3048,3119,3048,3070,3049,12617075,38463564588,578,تلیسه,دامداری تلیسه نمونه,فرابورس,2649,2711,2649,2668,2650
1403-05-13,2024-08-03,Saturday,2910,2989,2867,2867,2876,11941398,34346339608,1001,تلیسه,دامداری تلیسه نمونه,فرابورس,2529,2598,2492,2492,2500
1403-05-14,2024-08-04,Sunday,2848,2900,2848,2848,2858,6210158,17747463814,847,تلیسه,دامداری تلیسه نمونه,فرابورس,2475,2520,2475,2475,2484
1403-05-15,2024-08-05,Monday,2885,2885,2830,2830,2852,1454778,4125487722,631,تلیسه,دامداری تلیسه نمونه,فرابورس,2507,2507,2460,2460,2479
1403-05-16,2024-08-06,Tuesday,2851,2865,2824,2824,2827,8313085,23501522488,731,تلیسه,دامداری تلیسه نمونه,فرابورس,2478,2490,2454,2454,2457
1403-05-20,2024-08-10,Saturday,2825,2825,2799,2799,2804,5850509,16407557983,761,تلیسه,دامداری تلیسه نمونه,فرابورس,2455,2455,2433,2433,2437
1403-05-21,2024-08-11,Sunday,2776,2800,2776,2777,2787,3244160,9006773844,255,تلیسه,دامداری تلیسه نمونه,فرابورس,2413,2433,2413,2413,2422
