J-Date,Date,Weekday,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
1403-01-05,2024-03-24,Sunday,10600,10710,10270,10600,10480,2899320,30374040850,482,رنیک,جنرال مکانیک,فرابورس,5001,5053,4845,5001,4945
1403-01-06,2024-03-25,Monday,10640,10690,10200,10280,10390,3640376,37821463960,503,رنیک,جنرال مکانیک,فرابورس,5020,5044,4812,4850,4902
1403-01-07,2024-03-26,Tuesday,10280,10470,10160,10320,10290,1459715,15023302890,276,رنیک,جنرال مکانیک,فرابورس,4850,4940,4794,4869,4855
1403-01-08,2024-03-27,Wednesday,10070,10530,10070,10370,10370,1708948,17717761170,374,رنیک,جنرال مکانیک,فرابورس,4751,4968,4751,4893,4893
1403-01-11,2024-03-30,Saturday,10070,10320,10070,10170,10180,1440680,14665199880,334,رنیک,جنرال مکانیک,فرابورس,4751,4869,4751,4798,4803
1403-01-14,2024-04-02,Tuesday,10000,10190,9800,10080,9970,2404185,23973132290,367,رنیک,جنرال مکانیک,فرابورس,4718,4808,4624,4756,4704
1403-01-15,2024-04-03,Wednesday,10260,10260,9710,9890,9850,2195967,21621850520,460,رنیک,جنرال مکانیک,فرابورس,4841,4841,4581,4666,4647
1403-01-18,2024-04-06,Saturday,9870,10000,9360,9360,9500,4454176,42313718660,498,رنیک,جنرال مکانیک,فرابورس,4657,4718,4416,4416,4482
1403-01-19,2024-04-07,Sunday,9150,9680,9150,9510,9490,2085519,19792230920,270,رنیک,جنرال مکانیک,فرابورس,4317,4567,4317,4487,4477
1403-01-20,2024-04-08,Monday,9550,9860,9100,9450,9490,2877484,27307912160,347,رنیک,جنرال مکانیک,فرابورس,4506,4652,4293,4459,4477
1403-01-21,2024-04-09,Tuesday,9320,9870,9320,9480,9580,2607092,24967987590,352,رنیک,جنرال مکانیک,فرابورس,4397,4657,4397,4473,4520
1403-01-25,2024-04-13,Saturday,9440,9440,9110,9110,9120,5066095,46193701580,361,رنیک,جنرال مکانیک,فرابورس,4454,4454,4298,4298,4303
1403-01-26,2024-04-14,Sunday,9030,9030,9030,9030,9030,618152,5581912560,69,رنیک,جنرال مکانیک,فرابورس,4260,4260,4260,4260,4260
