J-Date,Date,Weekday,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
1403-01-05,2024-03-24,Sunday,29050,30500,29050,30350,30100,720336,21669909150,271,زدشت,کشت و صنعت دشت خرم دره,فرابورس,25721,27005,25721,26872,26651
1403-01-06,2024-03-25,Monday,30800,31250,29250,29650,30200,1906577,57561776600,639,زدشت,کشت و صنعت دشت خرم دره,فرابورس,27271,27669,25898,26252,26739
1403-01-07,2024-03-26,Tuesday,30300,30300,29350,29650,29600,420184,12439940550,258,زدشت,کشت و صنعت دشت خرم دره,فرابورس,26828,26828,25987,26252,26208
1403-01-08,2024-03-27,Wednesday,29900,30300,29700,30150,30150,611111,18411851050,329,زدشت,کشت و صنعت دشت خرم دره,فرابورس,26474,26828,26297,26695,26695
1403-01-11,2024-03-30,Saturday,30450,31150,29850,30300,30400,837929,25457042400,420,زدشت,کشت و صنعت دشت خرم دره,فرابورس,26961,27581,26430,26828,26917
1403-01-14,2024-04-02,Tuesday,28900,29900,28900,29300,29400,400156,11768347100,263,زدشت,کشت و صنعت دشت خرم دره,فرابورس,25588,26474,25588,25943,26031
1403-01-15,2024-04-03,Wednesday,29050,29900,28100,28700,28750,883290,25404559200,407,زدشت,کشت و صنعت دشت خرم دره,فرابورس,25721,26474,24880,25411,25456
1403-01-18,2024-04-06,Saturday,28100,29650,26750,26750,27200,1769383,48093772000,599,زدشت,کشت و صنعت دشت خرم دره,فرابورس,24880,26252,23685,23685,24083
1403-01-19,2024-04-07,Sunday,27200,27800,26650,27300,26950,883241,23819812750,296,زدشت,کشت و صنعت دشت خرم دره,فرابورس,24083,24614,23596,24172,23862
1403-01-20,2024-04-08,Monday,27800,28300,26900,27400,27600,421659,11640517850,207,زدشت,کشت و صنعت دشت خرم دره,فرابورس,24614,25057,23818,24260,24437
1403-01-21,2024-04-09,Tuesday,26900,28750,26900,28450,28050,1199870,33642442550,507,زدشت,کشت و صنعت دشت خرم دره,فرابورس,23818,25456,23818,25190,24836
1403-01-25,2024-04-13,Saturday,28000,28200,26100,26200,26350,1931409,50920055500,1018,زدشت,کشت و صنعت دشت خرم دره,فرابورس,24791,24969,23109,23198,23331
1403-01-26,2024-04-14,Sunday,26100,26250,26100,26250,26100,998469,26060665900,141,زدشت,کشت و صنعت دشت خرم دره,فرابورس,23109,23242,23109,23242,23109
1403-01-27,2024-04-15,Monday,26350,26350,26300,26350,26350,925187,24378577450,140,زدشت,کشت و صنعت دشت خرم دره,فرابورس,23331,23331,23286,23331,23331
1403-01-28,2024-04-16,Tuesday,26100,26600,26100,26200,26150,1001665,26179264650,148,زدشت,کشت و صنعت دشت خرم دره,فرابورس,23109,23552,23109,23198,23153
1403-01-29,2024-04-17,Wednesday,26200,26400,26200,26400,26400,356168,9402478550,115,زدشت,کشت و صنعت دشت خرم دره,فرابورس,23198,23375,23198,23375,23375
1403-02-01,2024-04-20,Saturday,27500,28200,27350,28200,28100,1069840,30049527200,220,زدشت,کشت و صنعت دشت خرم دره,فرابورس,24349,24969,24216,24969,24880
1403-02-02,2024-04-21,Sunday,28500,29100,28000,28200,28600,366793,10486540300,263,زدشت,کشت و صنعت دشت خرم دره,فرابورس,25234,25765,24791,24969,25323
