J-Date,Date,Weekday,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
1403-01-05,2024-03-24,Sunday,20800,21750,20650,21450,21150,682524,14442786750,626,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,16058,16792,15942,16560,16328
1403-01-06,2024-03-25,Monday,21350,22200,21350,22200,22150,2555118,56605967350,1089,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,16483,17139,16483,17139,17100
1403-01-07,2024-03-26,Tuesday,22200,22250,21200,22150,21750,1046024,22737819000,655,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,17139,17178,16367,17100,16792
1403-01-08,2024-03-27,Wednesday,22350,22800,21900,22800,22750,2076471,47225697900,913,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,17255,17602,16907,17602,17564
1403-01-11,2024-03-30,Saturday,22150,23000,21850,22300,22500,634816,14270535000,626,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,17100,17757,16869,17216,17371
1403-01-14,2024-04-02,Tuesday,21800,22600,21400,21700,21750,426908,9279757500,456,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,16830,17448,16521,16753,16792
1403-01-15,2024-04-03,Wednesday,21300,22550,21300,21700,21850,909159,19886103850,757,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,16444,17409,16444,16753,16869
1403-01-18,2024-04-06,Saturday,21700,21850,20800,20800,20850,2135191,44538285150,640,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,16753,16869,16058,16058,16097
1403-01-19,2024-04-07,Sunday,20800,21150,20250,20500,20600,643054,13246957200,620,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,16058,16328,15634,15827,15904
1403-01-20,2024-04-08,Monday,21300,21300,20550,20800,20800,506408,10522047250,535,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,16444,16444,15865,16058,16058
1403-01-21,2024-04-09,Tuesday,20400,21150,20400,20900,20900,750738,15685644350,714,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,15749,16328,15749,16135,16135
1403-01-25,2024-04-13,Saturday,20950,21000,19900,19950,20250,1071932,21715392800,947,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,16174,16213,15363,15402,15634
1403-01-26,2024-04-14,Sunday,20050,20050,20050,20050,20050,419648,8413942400,62,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,15479,15479,15479,15479,15479
1403-01-27,2024-04-15,Monday,19850,20250,19850,20250,20250,584214,11826584350,324,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,15325,15634,15325,15634,15634
1403-01-28,2024-04-16,Tuesday,20200,20300,20050,20050,20050,337938,6777269100,59,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,15595,15672,15479,15479,15479
1403-01-29,2024-04-17,Wednesday,19850,20250,19850,20050,20000,857158,17138335100,414,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,15325,15634,15325,15479,15441
1403-02-01,2024-04-20,Saturday,20250,21000,20240,21000,20970,824224,17284354910,577,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,15634,16213,15626,16213,16189
1403-02-02,2024-04-21,Sunday,20490,21400,20490,20930,21120,750724,15858006450,510,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,15819,16521,15819,16159,16305
1403-02-03,2024-04-22,Monday,20500,21450,20500,20850,21120,466017,9840259590,480,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,15827,16560,15827,16097,16305
1403-02-04,2024-04-23,Tuesday,20500,21430,20500,20710,21050,1007628,21215434800,504,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,15827,16545,15827,15989,16251
1403-02-05,2024-04-24,Wednesday,20500,21300,20500,20800,20960,676497,14176778440,422,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,15827,16444,15827,16058,16182
1403-02-08,2024-04-27,Saturday,20600,21200,20450,20900,20800,955997,19879856600,524,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,15904,16367,15788,16135,16058
1403-02-09,2024-04-28,Sunday,20650,21150,19800,19800,20100,3118258,62675827200,678,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,15942,16328,15286,15286,15518
1403-02-10,2024-04-29,Monday,19700,20250,19600,20000,19950,515502,10285414050,424,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,15209,15634,15132,15441,15402
1403-02-11,2024-04-30,Tuesday,19550,20250,19550,20000,19900,192611,3832250050,261,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,15093,15634,15093,15441,15363
1403-02-12,2024-05-01,Wednesday,19650,20200,19600,19900,19900,777226,15452130050,616,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,15170,15595,15132,15363,15363
1403-02-16,2024-05-05,Sunday,19750,20550,19710,19880,20000,253361,5066994680,345,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,15248,15865,15217,15348,15441
1403-02-17,2024-05-06,Monday,19850,20190,19600,19990,19730,306496,6046104770,350,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,15325,15587,15132,15433,15232
1403-02-18,2024-05-07,Tuesday,19620,20300,19350,19360,19670,246627,4850646450,287,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,15147,15672,14939,14946,15186
1403-02-19,2024-05-08,Wednesday,19380,19670,18690,18870,18850,1563764,29479950820,576,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14962,15186,14429,14568,14553
1403-02-22,2024-05-11,Saturday,19600,19600,18790,18790,18940,243099,4604497030,359,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,15132,15132,14506,14506,14622
1403-02-23,2024-05-12,Sunday,19000,19240,18760,18760,18920,368853,6979686160,337,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14668,14854,14483,14483,14607
1403-02-24,2024-05-13,Monday,18750,19000,18190,18850,18660,231680,4323812900,262,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14475,14668,14043,14553,14406
1403-02-25,2024-05-14,Tuesday,19310,19310,18160,18200,18480,652470,12056564260,579,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14908,14908,14020,14051,14267
1403-02-26,2024-05-15,Wednesday,18150,18780,17590,18000,18040,844942,15244380340,817,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14012,14499,13580,13896,13927
1403-02-29,2024-05-18,Saturday,18000,18650,17850,17990,18050,573379,10346967740,417,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13896,14398,13781,13889,13935
1403-02-30,2024-05-19,Sunday,17850,17850,17150,17150,17150,1291086,22144432790,312,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13781,13781,13240,13240,13240
1403-03-01,2024-05-21,Tuesday,16810,17490,16810,17490,17480,2163512,37818662240,228,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12978,13503,12978,13503,13495
1403-03-05,2024-05-25,Saturday,17820,17820,17500,17750,17790,2046974,36425856240,406,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13757,13757,13510,13703,13734
1403-03-06,2024-05-26,Sunday,17440,17700,17440,17440,17440,559253,9755543040,124,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13464,13665,13464,13464,13464
1403-03-07,2024-05-27,Monday,17100,17700,17100,17680,17240,960703,16566138460,336,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13202,13665,13202,13649,13310
1403-03-08,2024-05-28,Tuesday,17240,17580,17240,17580,17580,2007760,35290912120,406,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13310,13572,13310,13572,13572
1403-03-09,2024-05-29,Wednesday,17770,17930,17770,17930,17920,993128,17801331110,358,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13719,13842,13719,13842,13835
1403-03-12,2024-06-01,Saturday,18140,18270,17570,17570,17800,1010798,17987193260,344,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14005,14105,13564,13564,13742
1403-03-13,2024-06-02,Sunday,17450,17900,17450,17450,17450,224649,3920385670,70,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13472,13819,13472,13472,13472
1403-03-16,2024-06-05,Wednesday,17120,17450,17110,17110,17120,367388,6288625380,90,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13217,13472,13209,13209,13217
1403-03-19,2024-06-08,Saturday,16780,17000,16780,16780,16780,2105086,35324939090,374,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12955,13124,12955,12955,12955
1403-03-20,2024-06-09,Sunday,16460,16970,16460,16810,16670,375694,6262973790,312,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12707,13101,12707,12978,12870
1403-03-21,2024-06-10,Monday,17000,17000,16840,17000,17000,530168,9011631480,237,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13124,13124,13001,13124,13124
1403-03-22,2024-06-11,Tuesday,16810,17340,16810,17260,17160,293352,5034830340,325,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12978,13387,12978,13325,13248
1403-03-23,2024-06-12,Wednesday,16880,17500,16880,17400,17350,290120,5032362060,286,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13032,13510,13032,13433,13395
1403-03-26,2024-06-15,Saturday,17360,17600,17010,17010,17030,2598538,44247579400,751,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13402,13588,13132,13132,13148
1403-03-27,2024-06-16,Sunday,16830,16990,16790,16900,16880,306343,5172164850,558,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12993,13117,12962,13047,13032
1403-03-29,2024-06-18,Tuesday,17040,17210,16990,17050,17050,323808,5520328070,406,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13155,13287,13117,13163,13163
1403-03-30,2024-06-19,Wednesday,17000,17390,17000,17390,17310,428611,7418227640,245,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13124,13425,13124,13425,13364
1403-04-02,2024-06-22,Saturday,17070,17500,17070,17340,17390,297502,5172724340,263,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13178,13510,13178,13387,13425
1403-04-03,2024-06-23,Sunday,17480,17710,17460,17530,17540,103670,1818382230,220,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13495,13673,13480,13534,13541
1403-04-04,2024-06-24,Monday,17720,17890,17350,17860,17870,551806,9861962730,275,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13680,13812,13395,13788,13796
1403-04-06,2024-06-26,Wednesday,17800,18220,17800,18200,18210,313592,5709661470,234,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13742,14066,13742,14051,14059
1403-04-09,2024-06-29,Saturday,17560,19020,17560,18570,18690,719007,13435230150,232,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13557,14684,13557,14337,14429
1403-04-10,2024-06-30,Sunday,18000,18440,17570,17570,17600,763480,13435981660,308,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13896,14236,13564,13564,13588
1403-04-11,2024-07-01,Monday,17120,17990,17120,17500,17520,452252,7921818340,411,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13217,13889,13217,13510,13526
1403-04-12,2024-07-02,Tuesday,18050,18050,17140,17510,17550,317940,5580009510,299,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13935,13935,13232,13518,13549
1403-04-13,2024-07-03,Wednesday,17720,17990,17500,17750,17660,828806,14636632280,1043,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13680,13889,13510,13703,13634
1403-04-16,2024-07-06,Saturday,18560,18710,18560,18710,18700,2086589,39028878110,317,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14329,14445,14329,14445,14437
1403-04-17,2024-07-07,Sunday,19280,19790,18660,18660,18960,1145849,21727231040,517,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14885,15278,14406,14406,14638
1403-04-18,2024-07-08,Monday,19200,19200,18320,18340,18610,268245,4993375120,717,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14823,14823,14144,14159,14367
1403-04-19,2024-07-09,Tuesday,18110,19020,18000,18620,18540,1758197,32597075320,410,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13981,14684,13896,14375,14313
1403-04-20,2024-07-10,Wednesday,18850,18850,18390,18450,18530,3639340,67438470270,459,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14553,14553,14198,14244,14306
1403-04-30,2024-07-20,Saturday,15670,16660,15670,16550,16550,181423,3002190990,138,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13447,14297,13447,14203,14203
1403-04-31,2024-07-21,Sunday,16550,16550,16000,16000,16190,263155,4260130920,272,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14203,14203,13731,13731,13894
1403-05-01,2024-07-22,Monday,16400,16400,15700,16000,15800,676417,10684744180,462,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14074,14074,13473,13731,13559
1403-05-02,2024-07-23,Tuesday,15700,16730,15700,16130,16090,642587,10340226820,428,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13473,14357,13473,13842,13808
1403-05-03,2024-07-24,Wednesday,16090,16600,16090,16190,16360,264641,4330711770,263,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13808,14246,13808,13894,14040
1403-05-06,2024-07-27,Saturday,16170,16530,16170,16330,16410,742726,12188002410,433,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13877,14185,13877,14014,14083
