J-Date,Date,Weekday,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
1403-01-05,2024-03-24,Sunday,9390,9670,9260,9660,9540,1729143,16489354000,516,قشیر,قند شیروان قوچان و بجنورد,فرابورس,9390,9670,9260,9660,9540
1403-01-06,2024-03-25,Monday,9660,9890,9480,9530,9640,2503024,24136754400,429,قشیر,قند شیروان قوچان و بجنورد,فرابورس,9660,9890,9480,9530,9640
1403-01-07,2024-03-26,Tuesday,9450,9750,9450,9670,9600,1041200,9994769300,338,قشیر,قند شیروان قوچان و بجنورد,فرابورس,9450,9750,9450,9670,9600
1403-01-08,2024-03-27,Wednesday,9530,9720,9430,9500,9530,2523117,24052031990,452,قشیر,قند شیروان قوچان و بجنورد,فرابورس,9530,9720,9430,9500,9530
1403-01-11,2024-03-30,Saturday,9650,9740,9530,9690,9670,1554485,15033894720,365,قشیر,قند شیروان قوچان و بجنورد,فرابورس,9650,9740,9530,9690,9670
1403-01-14,2024-04-02,Tuesday,9300,9400,9190,9190,9200,5886555,54171338740,922,قشیر,قند شیروان قوچان و بجنورد,فرابورس,9300,9400,9190,9190,9200
1403-01-15,2024-04-03,Wednesday,9260,9320,8940,9030,9060,2749511,24919808810,579,قشیر,قند شیروان قوچان و بجنورد,فرابورس,9260,9320,8940,9030,9060
1403-01-18,2024-04-06,Saturday,9050,9270,8610,8610,8800,9335404,82163308140,1093,قشیر,قند شیروان قوچان و بجنورد,فرابورس,9050,9270,8610,8610,8800
1403-01-19,2024-04-07,Sunday,8760,8880,8400,8640,8550,1860576,15907052560,440,قشیر,قند شیروان قوچان و بجنورد,فرابورس,8760,8880,8400,8640,8550
1403-01-20,2024-04-08,Monday,8730,8890,8510,8770,8720,1244313,10853834530,315,قشیر,قند شیروان قوچان و بجنورد,فرابورس,8730,8890,8510,8770,8720
1403-01-21,2024-04-09,Tuesday,8660,8860,8520,8780,8690,1592816,13846644500,364,قشیر,قند شیروان قوچان و بجنورد,فرابورس,8660,8860,8520,8780,8690
1403-01-25,2024-04-13,Saturday,8260,8270,8260,8260,8260,1094835,9043547100,118,قشیر,قند شیروان قوچان و بجنورد,فرابورس,8260,8270,8260,8260,8260
1403-01-26,2024-04-14,Sunday,8180,8180,8180,8180,8180,1140733,9331195940,58,قشیر,قند شیروان قوچان و بجنورد,فرابورس,8180,8180,8180,8180,8180
1403-01-27,2024-04-15,Monday,8100,8260,8100,8200,8200,2200882,18036620130,291,قشیر,قند شیروان قوچان و بجنورد,فرابورس,8100,8260,8100,8200,8200
1403-01-28,2024-04-16,Tuesday,8250,8250,8120,8120,8120,2432254,19756240820,240,قشیر,قند شیروان قوچان و بجنورد,فرابورس,8250,8250,8120,8120,8120
1403-01-29,2024-04-17,Wednesday,8200,8200,8060,8140,8110,301380,2445439200,104,قشیر,قند شیروان قوچان و بجنورد,فرابورس,8200,8200,8060,8140,8110
1403-02-01,2024-04-20,Saturday,8490,8510,8100,8460,8470,917095,7770923490,244,قشیر,قند شیروان قوچان و بجنورد,فرابورس,8490,8510,8100,8460,8470
1403-02-02,2024-04-21,Sunday,8600,8750,8550,8580,8640,1453766,12560148010,247,قشیر,قند شیروان قوچان و بجنورد,فرابورس,8600,8750,8550,8580,8640
1403-02-03,2024-04-22,Monday,8690,8930,8500,8920,8730,1988909,17361703110,307,قشیر,قند شیروان قوچان و بجنورد,فرابورس,8690,8930,8500,8920,8730
1403-02-04,2024-04-23,Tuesday,9040,9040,8790,8890,8900,1804423,16058199800,246,قشیر,قند شیروان قوچان و بجنورد,فرابورس,9040,9040,8790,8890,8900
1403-02-05,2024-04-24,Wednesday,8990,8990,8720,8890,8820,1493287,13164943380,259,قشیر,قند شیروان قوچان و بجنورد,فرابورس,8990,8990,8720,8890,8820
1403-02-08,2024-04-27,Saturday,9000,9000,8510,8600,8630,1420382,12255362700,314,قشیر,قند شیروان قوچان و بجنورد,فرابورس,9000,9000,8510,8600,8630
