J-Date,Date,Weekday,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
1403-01-05,2024-03-24,Sunday,14080,14080,13600,14080,13870,716175,10078589560,37,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,13794,13794,13324,13794,13588
1403-01-06,2024-03-25,Monday,14280,14280,14100,14240,14070,723946,10329645290,55,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,13990,13990,13813,13951,13784
1403-01-07,2024-03-26,Tuesday,14450,14450,13790,13910,14070,83830,1172306040,21,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,14156,14156,13510,13627,13784
1403-01-08,2024-03-27,Wednesday,13650,14370,13650,13850,14060,152932,2140245290,36,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,13373,14078,13373,13568,13774
1403-01-11,2024-03-30,Saturday,14390,14480,13820,13900,14060,97064,1360302710,17,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,14098,14186,13539,13617,13774
1403-01-14,2024-04-02,Tuesday,14000,14060,14000,14000,14060,31307,439358290,6,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,13715,13774,13715,13715,13774
1403-01-15,2024-04-03,Wednesday,14060,14060,13640,13640,13900,574585,7845274070,30,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,13774,13774,13363,13363,13617
1403-01-18,2024-04-06,Saturday,13530,13530,13490,13490,13830,235041,3170888910,18,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,13255,13255,13216,13216,13549
1403-01-19,2024-04-07,Sunday,13420,13690,13420,13450,13460,1292519,17348811310,58,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,13147,13412,13147,13177,13186
1403-01-20,2024-04-08,Monday,13200,13860,13200,13600,13450,670764,9015115270,39,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,12932,13578,12932,13324,13177
1403-01-21,2024-04-09,Tuesday,13850,13850,13100,13230,13420,246066,3271865300,26,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,13568,13568,12834,12961,13147
1403-01-25,2024-04-13,Saturday,13050,13050,13020,13020,13400,71421,930148570,11,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,12785,12785,12755,12755,13128
1403-01-27,2024-04-15,Monday,13270,13530,13270,13530,13280,7076943,93969088100,143,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,13000,13255,13000,13255,13010
1403-01-28,2024-04-16,Tuesday,13150,13150,13150,13150,13270,155873,2049729950,13,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,12883,12883,12883,12883,13000
1403-01-29,2024-04-17,Wednesday,13150,13400,13140,13400,13260,437300,5792171560,34,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,12883,13128,12873,13128,12990
