J-Date,Date,Weekday,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
1403-01-05,2024-03-24,Sunday,11360,11850,11250,11790,11370,5287441,61251433470,489,کاوه,فولاد کاوه جنوب کیش,بورس,4362,4550,4320,4527,4366
1403-01-06,2024-03-25,Monday,11940,11940,11590,11710,11460,2496112,29366704750,467,کاوه,فولاد کاوه جنوب کیش,بورس,4585,4585,4451,4497,4401
1403-01-07,2024-03-26,Tuesday,11610,11910,11610,11790,11520,1887239,22325303640,412,کاوه,فولاد کاوه جنوب کیش,بورس,4458,4574,4458,4527,4424
1403-01-08,2024-03-27,Wednesday,11880,11940,11750,11940,11560,1375805,16325232770,209,کاوه,فولاد کاوه جنوب کیش,بورس,4562,4585,4512,4585,4439
1403-01-11,2024-03-30,Saturday,11780,11990,11640,11850,11660,3973174,46947671450,553,کاوه,فولاد کاوه جنوب کیش,بورس,4524,4604,4470,4550,4477
1403-01-14,2024-04-02,Tuesday,11660,11920,11440,11650,11670,3626286,42433159720,618,کاوه,فولاد کاوه جنوب کیش,بورس,4477,4577,4393,4474,4481
1403-01-15,2024-04-03,Wednesday,11900,11900,11600,11720,11680,3619032,42328001430,479,کاوه,فولاد کاوه جنوب کیش,بورس,4570,4570,4454,4501,4485
1403-01-18,2024-04-06,Saturday,11730,11890,11530,11580,11670,5297378,61728613270,651,کاوه,فولاد کاوه جنوب کیش,بورس,4504,4566,4428,4447,4481
1403-01-19,2024-04-07,Sunday,11500,11890,11500,11650,11680,2548997,29851521390,354,کاوه,فولاد کاوه جنوب کیش,بورس,4416,4566,4416,4474,4485
1403-01-20,2024-04-08,Monday,11640,11900,11520,11750,11690,2545268,29856911170,304,کاوه,فولاد کاوه جنوب کیش,بورس,4470,4570,4424,4512,4489
1403-01-21,2024-04-09,Tuesday,11690,11850,11600,11730,11690,5354304,62603061700,840,کاوه,فولاد کاوه جنوب کیش,بورس,4489,4550,4454,4504,4489
1403-01-25,2024-04-13,Saturday,11740,11750,11260,11280,11590,4801747,55150136400,1133,کاوه,فولاد کاوه جنوب کیش,بورس,4508,4512,4324,4332,4451
1403-01-26,2024-04-14,Sunday,11480,11480,11480,11480,11570,1968859,22602501320,100,کاوه,فولاد کاوه جنوب کیش,بورس,4408,4408,4408,4408,4443
1403-01-27,2024-04-15,Monday,11460,11680,11460,11680,11620,4556390,53187492540,261,کاوه,فولاد کاوه جنوب کیش,بورس,4401,4485,4401,4485,4462
1403-01-28,2024-04-16,Tuesday,11510,11650,11510,11600,11570,5228535,60239083410,375,کاوه,فولاد کاوه جنوب کیش,بورس,4420,4474,4420,4454,4443
1403-01-29,2024-04-17,Wednesday,11680,11680,11500,11680,11600,2482066,28990045900,137,کاوه,فولاد کاوه جنوب کیش,بورس,4485,4485,4416,4485,4454
1403-02-01,2024-04-20,Saturday,12400,12410,11950,12410,12290,10927063,134244770630,1115,کاوه,فولاد کاوه جنوب کیش,بورس,4762,4766,4589,4766,4719
1403-02-02,2024-04-21,Sunday,12400,12620,12250,12460,12380,6017769,74855197230,821,کاوه,فولاد کاوه جنوب کیش,بورس,4762,4846,4704,4785,4754
1403-02-03,2024-04-22,Monday,12200,12700,12200,12500,12420,4728058,58916951830,495,کاوه,فولاد کاوه جنوب کیش,بورس,4685,4877,4685,4800,4769
1403-02-04,2024-04-23,Tuesday,12500,12690,12020,12270,12350,4566529,56011617520,417,کاوه,فولاد کاوه جنوب کیش,بورس,4800,4873,4616,4712,4742
1403-02-05,2024-04-24,Wednesday,12280,12500,12270,12440,12400,5944428,73920779620,457,کاوه,فولاد کاوه جنوب کیش,بورس,4716,4800,4712,4777,4762
1403-02-08,2024-04-27,Saturday,12550,12750,12490,12500,12470,3649645,45917286930,524,کاوه,فولاد کاوه جنوب کیش,بورس,4819,4896,4796,4800,4789
1403-02-09,2024-04-28,Sunday,12330,12670,12300,12500,12450,3401212,42262681620,382,کاوه,فولاد کاوه جنوب کیش,بورس,4735,4865,4723,4800,4781
1403-02-10,2024-04-29,Monday,12590,12630,12480,12510,12490,5192772,65065921920,566,کاوه,فولاد کاوه جنوب کیش,بورس,4835,4850,4792,4804,4796
1403-02-11,2024-04-30,Tuesday,12500,12610,12290,12440,12480,3406951,42433998950,360,کاوه,فولاد کاوه جنوب کیش,بورس,4800,4842,4719,4777,4792
1403-02-12,2024-05-01,Wednesday,12500,12600,12480,12490,12510,5516444,69141855650,863,کاوه,فولاد کاوه جنوب کیش,بورس,4800,4838,4792,4796,4804
1403-02-16,2024-05-05,Sunday,12550,12600,12450,12530,12510,3233714,40481302600,375,کاوه,فولاد کاوه جنوب کیش,بورس,4819,4838,4781,4812,4804
1403-02-17,2024-05-06,Monday,12510,12520,12320,12320,12480,3286496,40814987730,524,کاوه,فولاد کاوه جنوب کیش,بورس,4804,4808,4731,4731,4792
1403-02-18,2024-05-07,Tuesday,12480,12550,12200,12230,12420,4453380,54973985980,724,کاوه,فولاد کاوه جنوب کیش,بورس,4792,4819,4685,4696,4769
1403-02-19,2024-05-08,Wednesday,12430,12440,12250,12270,12400,2706863,33406922490,521,کاوه,فولاد کاوه جنوب کیش,بورس,4773,4777,4704,4712,4762
1403-02-22,2024-05-11,Saturday,12400,12460,12270,12280,12380,5390116,66612321130,909,کاوه,فولاد کاوه جنوب کیش,بورس,4762,4785,4712,4716,4754
1403-02-23,2024-05-12,Sunday,12380,12400,12040,12100,12310,3872666,47292334580,698,کاوه,فولاد کاوه جنوب کیش,بورس,4754,4762,4623,4646,4727
1403-02-24,2024-05-13,Monday,12380,12380,11810,11950,12250,1851820,22245812300,560,کاوه,فولاد کاوه جنوب کیش,بورس,4754,4754,4535,4589,4704
1403-02-25,2024-05-14,Tuesday,12250,12370,11680,11680,11950,10246013,122434778910,1459,کاوه,فولاد کاوه جنوب کیش,بورس,4704,4750,4485,4485,4589
1403-02-26,2024-05-15,Wednesday,11920,11950,11490,11600,11780,5853514,68342764760,1238,کاوه,فولاد کاوه جنوب کیش,بورس,4577,4589,4412,4454,4524
1403-02-29,2024-05-18,Saturday,11780,11780,11300,11300,11700,3048585,35100655150,655,کاوه,فولاد کاوه جنوب کیش,بورس,4524,4524,4339,4339,4493
1403-02-30,2024-05-19,Sunday,11640,11640,10890,10890,11160,8453161,93420369840,1130,کاوه,فولاد کاوه جنوب کیش,بورس,4470,4470,4182,4182,4285
1403-03-01,2024-05-21,Tuesday,11090,11380,10940,10940,11060,5482957,60167791730,704,کاوه,فولاد کاوه جنوب کیش,بورس,4259,4370,4201,4201,4247
1403-03-05,2024-05-25,Saturday,11230,11230,10840,10840,11000,3510625,38138323640,553,کاوه,فولاد کاوه جنوب کیش,بورس,4312,4312,4163,4163,4224
1403-03-06,2024-05-26,Sunday,10930,10930,10780,10780,10970,1861363,20099308140,257,کاوه,فولاد کاوه جنوب کیش,بورس,4197,4197,4140,4140,4213
1403-03-07,2024-05-27,Monday,10760,10760,10760,10760,10960,620524,6676838240,47,کاوه,فولاد کاوه جنوب کیش,بورس,4132,4132,4132,4132,4209
1403-03-08,2024-05-28,Tuesday,10750,10850,10750,10750,10750,21426452,230347606930,1041,کاوه,فولاد کاوه جنوب کیش,بورس,4128,4166,4128,4128,4128
