J-Date,Date,Weekday,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
1403-01-05,2024-03-24,Sunday,36400,36840,35000,35850,35820,788458,28242420330,489,کگاز,شیشه و گاز,بورس,30154,30519,28995,29699,29674
1403-01-06,2024-03-25,Monday,36800,36800,35100,35130,35520,488436,17350074580,478,کگاز,شیشه و گاز,بورس,30486,30486,29077,29102,29425
1403-01-07,2024-03-26,Tuesday,35990,35990,34630,35200,35110,524591,18416535220,286,کگاز,شیشه و گاز,بورس,29815,29815,28688,29160,29086
1403-01-08,2024-03-27,Wednesday,35280,36860,35280,36860,36670,1015338,37227640390,366,کگاز,شیشه و گاز,بورس,29227,30535,29227,30535,30378
1403-01-11,2024-03-30,Saturday,37500,38500,37100,38500,38380,4146201,159126383800,1909,کگاز,شیشه و گاز,بورس,31066,31894,30734,31894,31795
1403-01-14,2024-04-02,Tuesday,39090,40050,36470,39940,39460,4956038,195586734670,2488,کگاز,شیشه و گاز,بورس,32383,33178,30212,33087,32689
1403-01-15,2024-04-03,Wednesday,39480,40980,39000,39120,40000,2541547,101662265570,874,کگاز,شیشه و گاز,بورس,32706,33949,32308,32408,33137
1403-01-18,2024-04-06,Saturday,39700,39700,38000,38000,38480,955702,36779450180,262,کگاز,شیشه و گاز,بورس,32888,32888,31480,31480,31878
1403-01-19,2024-04-07,Sunday,36560,39150,36560,39000,37490,3307004,123995077310,792,کگاز,شیشه و گاز,بورس,30287,32433,30287,32308,31057
1403-01-20,2024-04-08,Monday,39170,39360,38560,39360,39270,2017638,79235363900,277,کگاز,شیشه و گاز,بورس,32449,32607,31944,32607,32532
1403-01-21,2024-04-09,Tuesday,40050,41230,40000,41230,41100,5265397,216412547140,2002,کگاز,شیشه و گاز,بورس,33178,34156,33137,34156,34048
1403-01-25,2024-04-13,Saturday,39050,39050,39050,39050,39050,402277,15708916850,73,کگاز,شیشه و گاز,بورس,32350,32350,32350,32350,32350
1403-01-26,2024-04-14,Sunday,38660,38660,38660,38660,39010,33579,1298164140,19,کگاز,شیشه و گاز,بورس,32027,32027,32027,32027,32317
1403-01-27,2024-04-15,Monday,38620,39400,38620,39100,38940,2183053,85014756510,492,کگاز,شیشه و گاز,بورس,31994,32640,31994,32391,32259
1403-01-28,2024-04-16,Tuesday,38560,38560,38560,38560,38560,630571,24314817760,106,کگاز,شیشه و گاز,بورس,31944,31944,31944,31944,31944
1403-01-29,2024-04-17,Wednesday,38250,38940,38190,38920,38860,1114966,43326482820,235,کگاز,شیشه و گاز,بورس,31687,32259,31637,32242,32192
1403-02-01,2024-04-20,Saturday,40790,40790,38880,39750,39670,1684966,66834293790,533,کگاز,شیشه و گاز,بورس,33791,33791,32209,32930,32863
1403-02-02,2024-04-21,Sunday,40700,41640,39990,40080,40750,1121303,45695289950,430,کگاز,شیشه و گاز,بورس,33717,34495,33128,33203,33758
1403-02-03,2024-04-22,Monday,41000,42660,39000,40070,40610,2907649,118084359940,783,کگاز,شیشه و گاز,بورس,33965,35340,32308,33195,33642
1403-02-04,2024-04-23,Tuesday,40070,40070,38580,39000,38910,2103434,81853104120,724,کگاز,شیشه و گاز,بورس,33195,33195,31960,32308,32234
1403-02-05,2024-04-24,Wednesday,39140,39680,37010,38490,38340,1877314,71978665220,787,کگاز,شیشه و گاز,بورس,32424,32872,30660,31886,31762
1403-02-08,2024-04-27,Saturday,38490,40120,38490,39700,39650,1116058,44246842280,430,کگاز,شیشه و گاز,بورس,31886,33236,31886,32888,32847
1403-02-09,2024-04-28,Sunday,39050,39950,37670,38910,38260,914537,34991722650,297,کگاز,شیشه و گاز,بورس,32350,33095,31207,32234,31695
1403-02-10,2024-04-29,Monday,38970,39470,38260,38300,38740,494578,19159694240,223,کگاز,شیشه و گاز,بورس,32283,32698,31695,31728,32093
1403-02-11,2024-04-30,Tuesday,37980,38200,37000,37850,37390,475310,17771402270,277,کگاز,شیشه و گاز,بورس,31463,31646,30651,31356,30975
1403-02-12,2024-05-01,Wednesday,37060,38290,36130,36850,37010,369038,13650791010,224,کگاز,شیشه و گاز,بورس,30701,31720,29931,30527,30660
1403-02-16,2024-05-05,Sunday,37000,38300,36660,37090,37330,421053,15716605100,262,کگاز,شیشه و گاز,بورس,30651,31728,30370,30726,30925
1403-02-17,2024-05-06,Monday,36210,37500,35470,35690,35700,916540,32716465100,431,کگاز,شیشه و گاز,بورس,29997,31066,29384,29566,29575
1403-02-18,2024-05-07,Tuesday,35250,36360,33920,33950,34340,941179,32323486360,537,کگاز,شیشه و گاز,بورس,29202,30121,28100,28125,28448
1403-02-19,2024-05-08,Wednesday,35000,35000,32630,32640,33070,1187535,39266643140,569,کگاز,شیشه و گاز,بورس,28995,28995,27031,27040,27396
1403-02-22,2024-05-11,Saturday,33610,34720,32200,34720,34320,1111699,38149523830,369,کگاز,شیشه و گاز,بورس,27843,28763,26675,28763,28431
1403-02-23,2024-05-12,Sunday,35650,35650,33170,33470,34550,734759,25387757840,401,کگاز,شیشه و گاز,بورس,29533,29533,27479,27727,28622
1403-02-24,2024-05-13,Monday,32850,34540,32830,33420,32920,1134484,37352111440,346,کگاز,شیشه و گاز,بورس,27213,28614,27197,27686,27271
1403-02-29,2024-05-18,Saturday,34560,34560,34100,34530,34540,1350887,46664477860,273,کگاز,شیشه و گاز,بورس,28630,28630,28249,28605,28614
1403-03-05,2024-05-25,Saturday,33850,34880,33850,34470,33870,2272715,76970803640,187,کگاز,شیشه و گاز,بورس,28042,28895,28042,28556,28058
1403-03-06,2024-05-26,Sunday,33950,33950,33200,33200,33630,164168,5457407940,53,کگاز,شیشه و گاز,بورس,28125,28125,27503,27503,27860
1403-03-07,2024-05-27,Monday,32960,32960,32960,32960,33520,74471,2454564160,18,کگاز,شیشه و گاز,بورس,27305,27305,27305,27305,27769
1403-03-08,2024-05-28,Tuesday,32850,33030,32850,32850,32860,1179890,38770587690,865,کگاز,شیشه و گاز,بورس,27213,27363,27213,27213,27222
1403-03-09,2024-05-29,Wednesday,32300,33000,32210,32210,32340,937380,30310288940,388,کگاز,شیشه و گاز,بورس,26758,27338,26683,26683,26791
1403-03-12,2024-06-01,Saturday,32010,32790,31700,32000,31800,1812348,57641315440,226,کگاز,شیشه و گاز,بورس,26518,27164,26261,26509,26344
1403-03-13,2024-06-02,Sunday,32290,32430,31470,32370,32290,1244493,40188514810,417,کگاز,شیشه و گاز,بورس,26750,26866,26070,26816,26750
1403-03-16,2024-06-05,Wednesday,32900,32920,31650,32200,32370,764421,24743221570,336,کگاز,شیشه و گاز,بورس,27255,27271,26219,26675,26816
1403-03-19,2024-06-08,Saturday,31760,32750,31730,31730,32330,32687,1038745650,48,کگاز,شیشه و گاز,بورس,26310,27131,26286,26286,26783
1403-03-20,2024-06-09,Sunday,31690,32300,31690,31690,31740,427306,13543493490,103,کگاز,شیشه و گاز,بورس,26253,26758,26253,26253,26294
1403-03-21,2024-06-10,Monday,31120,32280,31110,31730,31680,271052,8577572810,183,کگاز,شیشه و گاز,بورس,25780,26741,25772,26286,26244
1403-03-22,2024-06-11,Tuesday,32000,32260,31050,31050,31640,61653,1932525280,56,کگاز,شیشه و گاز,بورس,26509,26725,25722,25722,26211
1403-03-23,2024-06-12,Wednesday,31990,31990,31010,31010,31090,532335,16548991960,1590,کگاز,شیشه و گاز,بورس,26501,26501,25689,25689,25755
1403-03-26,2024-06-15,Saturday,30470,30470,30470,30470,31010,64152,1954711440,19,کگاز,شیشه و گاز,بورس,25242,25242,25242,25242,25689
1403-03-27,2024-06-16,Sunday,30390,30390,30390,30390,31000,9793,297609270,10,کگاز,شیشه و گاز,بورس,25176,25176,25176,25176,25681
1403-03-29,2024-06-18,Tuesday,30380,30380,30380,30380,30510,384995,11696148100,534,کگاز,شیشه و گاز,بورس,25167,25167,25167,25167,25275
1403-03-30,2024-06-19,Wednesday,29900,30600,29900,29900,29900,687333,20552931470,691,کگاز,شیشه و گاز,بورس,24770,25350,24770,24770,24770
1403-04-02,2024-06-22,Saturday,29310,29320,29310,29310,29490,350053,10260078770,89,کگاز,شیشه و گاز,بورس,24281,24289,24281,24281,24430
1403-04-03,2024-06-23,Sunday,28910,28910,28910,28910,29440,41964,1213179240,26,کگاز,شیشه و گاز,بورس,23949,23949,23949,23949,24389
1403-04-04,2024-06-24,Monday,28860,28860,28860,28860,29110,288050,8313123000,118,کگاز,شیشه و گاز,بورس,23908,23908,23908,23908,24115
1403-04-06,2024-06-26,Wednesday,28540,29660,28530,29300,28870,761646,21990914570,293,کگاز,شیشه و گاز,بورس,23643,24571,23635,24273,23916
1403-04-09,2024-06-29,Saturday,29570,29570,28170,28510,28860,100578,2896185770,129,کگاز,شیشه و گاز,بورس,24496,24496,23336,23618,23908
1403-04-10,2024-06-30,Sunday,29680,30590,27390,29300,30010,1635188,49066339490,524,کگاز,شیشه و گاز,بورس,24587,25341,22690,24273,24861
1403-04-11,2024-07-01,Monday,28400,30960,28400,29810,29510,429866,12641373040,231,کگاز,شیشه و گاز,بورس,23527,25648,23527,24695,24447
1403-04-12,2024-07-02,Tuesday,28240,31280,28220,31280,30590,1205906,36891262020,497,کگاز,شیشه و گاز,بورس,23394,25913,23378,25913,25341
1403-04-13,2024-07-03,Wednesday,31650,32400,30100,31790,31610,499176,15802178150,338,کگاز,شیشه و گاز,بورس,26219,26841,24935,26335,26186
1403-04-16,2024-07-06,Saturday,33400,33500,33150,33500,33500,838945,28101287450,190,کگاز,شیشه و گاز,بورس,27669,27752,27462,27752,27752
1403-04-17,2024-07-07,Sunday,32320,35400,32300,34090,33860,1005630,34047269370,433,کگاز,شیشه و گاز,بورس,26774,29326,26758,28241,28050
1403-04-18,2024-07-08,Monday,35220,35220,32510,33280,33550,404482,13548041380,273,کگاز,شیشه و گاز,بورس,29177,29177,26932,27570,27793
1403-04-19,2024-07-09,Tuesday,33990,33990,32400,33740,33370,390257,13009645630,239,کگاز,شیشه و گاز,بورس,28158,28158,26841,27951,27644
1403-04-20,2024-07-10,Wednesday,33360,33500,31410,31660,32790,175768,5589174740,143,کگاز,شیشه و گاز,بورس,27636,27752,26021,26228,27164
1403-04-23,2024-07-13,Saturday,30860,31900,30860,31490,32510,93151,2926323140,94,کگاز,شیشه و گاز,بورس,25565,26426,25565,26087,26932
1403-04-24,2024-07-14,Sunday,33940,33940,30840,31780,32370,130804,4186345810,133,کگاز,شیشه و گاز,بورس,28116,28116,25548,26327,26816
1403-05-01,2024-07-22,Monday,32030,32030,30130,30790,30870,565269,17450994750,163,کگاز,شیشه و گاز,بورس,28422,28422,26736,27322,27393
1403-05-02,2024-07-23,Tuesday,30790,32700,30790,31180,31740,568926,18060259740,315,کگاز,شیشه و گاز,بورس,27322,29017,27322,27668,28165
1403-05-03,2024-07-24,Wednesday,31500,32490,31140,32350,31910,231019,7417432200,125,کگاز,شیشه و گاز,بورس,27952,28830,27632,28706,28315
1403-05-06,2024-07-27,Saturday,32720,33780,31910,32400,33010,1100309,36323753500,488,کگاز,شیشه و گاز,بورس,29034,29975,28315,28750,29292
1403-05-08,2024-07-29,Monday,33810,33810,31100,31700,32450,236626,7546199300,149,کگاز,شیشه و گاز,بورس,30002,30002,27597,28129,28795
1403-05-09,2024-07-30,Tuesday,32260,32900,30900,31350,31780,331722,10450915790,736,کگاز,شیشه و گاز,بورس,28626,29194,27419,27819,28200
1403-05-10,2024-07-31,Wednesday,29880,29900,29880,29900,30180,396678,11853703440,115,کگاز,شیشه و گاز,بورس,26514,26532,26514,26532,26780
1403-05-13,2024-08-03,Saturday,28380,28400,28370,28370,28370,842117,23891474010,106,کگاز,شیشه و گاز,بورس,25183,25201,25174,25174,25174
1403-05-14,2024-08-04,Sunday,28090,28600,28090,28090,28280,159002,4467565910,57,کگاز,شیشه و گاز,بورس,24926,25378,24926,24926,25094
1403-05-15,2024-08-05,Monday,28560,28560,28000,28000,28030,821455,23023150000,60,کگاز,شیشه و گاز,بورس,25343,25343,24846,24846,24872
1403-05-16,2024-08-06,Tuesday,27750,28030,27750,28030,27830,352671,9786678250,59,کگاز,شیشه و گاز,بورس,24624,24872,24624,24872,24695
1403-05-20,2024-08-10,Saturday,27560,28100,27560,27940,27810,108995,3021374180,87,کگاز,شیشه و گاز,بورس,24455,24935,24455,24793,24677
1403-05-21,2024-08-11,Sunday,27540,28080,27540,27900,27990,446622,12518126470,143,کگاز,شیشه و گاز,بورس,24438,24917,24438,24757,24837
