J-Date,Date,Weekday,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
1403-01-05,2024-03-24,Sunday,2700,2736,2654,2736,2725,7175559,19554024333,399,گکوثر,هتل پارسیان کوثر اصفهان,فرابورس,2386,2417,2345,2417,2408
1403-01-06,2024-03-25,Monday,2780,2780,2690,2734,2711,4986258,13518984871,273,گکوثر,هتل پارسیان کوثر اصفهان,فرابورس,2456,2456,2377,2416,2395
1403-01-07,2024-03-26,Tuesday,2720,2760,2636,2758,2727,5264448,14356386480,437,گکوثر,هتل پارسیان کوثر اصفهان,فرابورس,2403,2439,2329,2437,2409
1403-01-08,2024-03-27,Wednesday,2727,2820,2695,2700,2732,5995848,16383176415,274,گکوثر,هتل پارسیان کوثر اصفهان,فرابورس,2409,2492,2381,2386,2414
1403-01-11,2024-03-30,Saturday,2780,2787,2637,2693,2683,2376041,6374724651,247,گکوثر,هتل پارسیان کوثر اصفهان,فرابورس,2456,2462,2330,2379,2371
1403-01-14,2024-04-02,Tuesday,2623,2641,2583,2607,2609,4373862,11411532621,227,گکوثر,هتل پارسیان کوثر اصفهان,فرابورس,2318,2333,2282,2303,2305
1403-01-15,2024-04-03,Wednesday,2639,2640,2577,2600,2600,3687710,9589549029,193,گکوثر,هتل پارسیان کوثر اصفهان,فرابورس,2332,2333,2277,2297,2297
1403-01-18,2024-04-06,Saturday,2562,2635,2470,2510,2531,6299126,15941013211,353,گکوثر,هتل پارسیان کوثر اصفهان,فرابورس,2264,2328,2182,2218,2236
1403-01-19,2024-04-07,Sunday,2439,2532,2439,2500,2502,1670617,4180014487,163,گکوثر,هتل پارسیان کوثر اصفهان,فرابورس,2155,2237,2155,2209,2211
1403-01-20,2024-04-08,Monday,2481,2600,2481,2501,2523,6134404,15478664615,282,گکوثر,هتل پارسیان کوثر اصفهان,فرابورس,2192,2297,2192,2210,2229
1403-01-21,2024-04-09,Tuesday,2500,2560,2495,2516,2504,5814205,14558265875,230,گکوثر,هتل پارسیان کوثر اصفهان,فرابورس,2209,2262,2204,2223,2212
1403-01-25,2024-04-13,Saturday,2459,2459,2379,2384,2383,18874180,44977921361,506,گکوثر,هتل پارسیان کوثر اصفهان,فرابورس,2173,2173,2102,2106,2105
1403-01-26,2024-04-14,Sunday,2360,2406,2360,2391,2372,25591869,60702551977,473,گکوثر,هتل پارسیان کوثر اصفهان,فرابورس,2085,2126,2085,2112,2096
1403-01-27,2024-04-15,Monday,2395,2395,2395,2395,2395,2405660,5761555700,53,گکوثر,هتل پارسیان کوثر اصفهان,فرابورس,2116,2116,2116,2116,2116
1403-01-28,2024-04-16,Tuesday,2415,2418,2372,2399,2392,5227471,12502863663,199,گکوثر,هتل پارسیان کوثر اصفهان,فرابورس,2134,2136,2096,2120,2113
1403-01-29,2024-04-17,Wednesday,2415,2415,2385,2399,2410,3646285,8787575980,133,گکوثر,هتل پارسیان کوثر اصفهان,فرابورس,2134,2134,2107,2120,2129
