source,target,source_scenario,target_scenario,source_valuation,source_price,source_upside,target_valuation,target_price,target_upside,decision,score
زفجر,رنیک,خوشبینانه,خوشبینانه,1065349.1836773085,21550,4843.615701518833,25864843.930113867,18620,138808.93625195418,تخصیص,133965.32055043534
زفجر,رنیک,خوشبینانه,خنثی,1065349.1836773085,21550,4843.615701518833,19537487.278860025,18620,104827.42899495181,تخصیص,99983.81329343298
زفجر,رنیک,خوشبینانه,بدبینانه,1065349.1836773085,21550,4843.615701518833,15821834.778561147,18620,84872.25982041431,تخصیص,80028.64411889548
زفجر,رنیک,خنثی,خوشبینانه,1060965.4874058499,21550,4823.27372346102,25864843.930113867,18620,138808.93625195418,تخصیص,133985.66252849315
زفجر,رنیک,خنثی,خنثی,1060965.4874058499,21550,4823.27372346102,19537487.278860025,18620,104827.42899495181,تخصیص,100004.15527149079
زفجر,رنیک,خنثی,بدبینانه,1060965.4874058499,21550,4823.27372346102,15821834.778561147,18620,84872.25982041431,تخصیص,80048.98609695329
زفجر,رنیک,بدبینانه,خوشبینانه,1058401.6168757172,21550,4811.376412416321,25864843.930113867,18620,138808.93625195418,تخصیص,133997.55983953786
زفجر,رنیک,بدبینانه,خنثی,1058401.6168757172,21550,4811.376412416321,19537487.278860025,18620,104827.42899495181,تخصیص,100016.05258253549
زفجر,رنیک,بدبینانه,بدبینانه,1058401.6168757172,21550,4811.376412416321,15821834.778561147,18620,84872.25982041431,تخصیص,80060.88340799799
زفجر,قشیر,خوشبینانه,خوشبینانه,1065349.1836773085,21550,4843.615701518833,307776.42186379083,8780,3405.426217127458,نگهداری,-1438.1894843913747
زفجر,قشیر,خوشبینانه,خنثی,1065349.1836773085,21550,4843.615701518833,307070.2883047056,8780,3397.3836936754624,نگهداری,-1446.2320078433704
زفجر,قشیر,خوشبینانه,بدبینانه,1065349.1836773085,21550,4843.615701518833,306657.2912491481,8780,3392.6798547738963,نگهداری,-1450.9358467449365
زفجر,قشیر,خنثی,خوشبینانه,1060965.4874058499,21550,4823.27372346102,307776.42186379083,8780,3405.426217127458,نگهداری,-1417.8475063335623
زفجر,قشیر,خنثی,خنثی,1060965.4874058499,21550,4823.27372346102,307070.2883047056,8780,3397.3836936754624,نگهداری,-1425.890029785558
زفجر,قشیر,خنثی,بدبینانه,1060965.4874058499,21550,4823.27372346102,306657.2912491481,8780,3392.6798547738963,نگهداری,-1430.593868687124
زفجر,قشیر,بدبینانه,خوشبینانه,1058401.6168757172,21550,4811.376412416321,307776.42186379083,8780,3405.426217127458,نگهداری,-1405.9501952888627
زفجر,قشیر,بدبینانه,خنثی,1058401.6168757172,21550,4811.376412416321,307070.2883047056,8780,3397.3836936754624,نگهداری,-1413.9927187408584
