منبع,هدف,بازده_منبع_%,بازده_هدف_%,اختلاف_بازده_%,تصمیم,اطمینان,امتیاز
زفجر,رنیک,25.5,28.25,2.75,نگهداری,40.0,-2.75
زفجر,قشیر,25.5,29.5,4.0,نگهداری,40.0,-4.0
زفجر,زدشت,25.5,24.75,-0.75,نگهداری,30.0,0.75
زفجر,وسنا,25.5,23.5,-2.0,نگهداری,30.0,2.0
زفجر,کگاز,25.5,24.5,-1.0,نگهداری,30.0,1.0
زفجر,تلیسه,25.5,27.5,2.0,نگهداری,40.0,-2.0
کاوه,رنیک,28.25,28.25,0.0,نگهداری,50.0,-0.0
کاوه,قشیر,28.25,29.5,1.25,نگهداری,50.0,-1.25
کاوه,زدشت,28.25,24.75,-3.5,نگهداری,40.0,3.5
کاوه,وسنا,28.25,23.5,-4.75,نگهداری,40.0,4.75
کاوه,کگاز,28.25,24.5,-3.75,نگهداری,40.0,3.75
کاوه,تلیسه,28.25,27.5,-0.75,نگهداری,50.0,0.75
گکوثر,رنیک,25.5,28.25,2.75,نگهداری,40.0,-2.75
گکوثر,قشیر,25.5,29.5,4.0,نگهداری,40.0,-4.0
گکوثر,زدشت,25.5,24.75,-0.75,نگهداری,30.0,0.75
گکوثر,وسنا,25.5,23.5,-2.0,نگهداری,30.0,2.0
گکوثر,کگاز,25.5,24.5,-1.0,نگهداری,30.0,1.0
گکوثر,تلیسه,25.5,27.5,2.0,نگهداری,40.0,-2.0
