نماد_منبع,نماد_هدف,بازده_منبع_%,بازده_هدف_%,اختلاف_بازده_%,امتیاز_بنیادی_منبع,امتیاز_بنیادی_هدف,امتیاز_تکنیکال_منبع,امتیاز_تکنیکال_هدف,امتیاز_کلی_منبع,امتیاز_کلی_هدف,تصمیم,توضیح
زفجر,رنیک,-18.9,-18.75,0.15,70,45,60,95,66.0,65.0,⚖️ تقریباً برابر,تفاوت معنادار نیست
زفجر,قشیر,-18.9,-19.5,-0.6,70,70,60,70,66.0,70.0,⚖️ تقریباً برابر,تفاوت معنادار نیست
زفجر,زدشت,-18.9,-18.45,0.45,70,65,60,60,66.0,63.0,⚖️ تقریباً برابر,تفاوت معنادار نیست
زفجر,وسنا,-18.9,-14.55,4.35,70,25,60,55,66.0,37.0,⚖️ تقریباً برابر,تفاوت معنادار نیست
زفجر,کگاز,-18.9,-8.99,9.91,70,60,60,65,66.0,62.0,⚖️ تقریباً برابر,تفاوت معنادار نیست
زفجر,تلیسه,-18.9,-18.75,0.15,70,45,60,95,66.0,65.0,⚖️ تقریباً برابر,تفاوت معنادار نیست
کاوه,رنیک,-18.07,-18.75,-0.68,60,45,80,95,68.0,65.0,⚖️ تقریباً برابر,تفاوت معنادار نیست
کاوه,قشیر,-18.07,-19.5,-1.43,60,70,80,70,68.0,70.0,⚖️ تقریباً برابر,تفاوت معنادار نیست
کاوه,زدشت,-18.07,-18.45,-0.38,60,65,80,60,68.0,63.0,⚖️ تقریباً برابر,تفاوت معنادار نیست
کاوه,وسنا,-18.07,-14.55,3.52,60,25,80,55,68.0,37.0,⚖️ تقریباً برابر,تفاوت معنادار نیست
کاوه,کگاز,-18.07,-8.99,9.07,60,60,80,65,68.0,62.0,⚖️ تقریباً برابر,تفاوت معنادار نیست
کاوه,تلیسه,-18.07,-18.75,-0.68,60,45,80,95,68.0,65.0,⚖️ تقریباً برابر,تفاوت معنادار نیست
گکوثر,رنیک,-16.29,-18.75,-2.46,65,45,60,95,63.0,65.0,⚖️ تقریباً برابر,تفاوت معنادار نیست
گکوثر,قشیر,-16.29,-19.5,-3.21,65,70,60,70,63.0,70.0,⚖️ تقریباً برابر,تفاوت معنادار نیست
گکوثر,زدشت,-16.29,-18.45,-2.16,65,65,60,60,63.0,63.0,⚖️ تقریباً برابر,تفاوت معنادار نیست
گکوثر,وسنا,-16.29,-14.55,1.74,65,25,60,55,63.0,37.0,⚖️ تقریباً برابر,تفاوت معنادار نیست
گکوثر,کگاز,-16.29,-8.99,7.3,65,60,60,65,63.0,62.0,⚖️ تقریباً برابر,تفاوت معنادار نیست
گکوثر,تلیسه,-16.29,-18.75,-2.46,65,45,60,95,63.0,65.0,⚖️ تقریباً برابر,تفاوت معنادار نیست
