نماد_اصلی,نماد_جایگزین,بازده_اصلی_%,بازده_جایگزین_%,اختلاف_بازده_%,امتیاز_بنیادی_اصلی,امتیاز_بنیادی_جایگزین,امتیاز_تکنیکال_اصلی,امتیاز_تکنیکال_جایگزین,تصمیم,اولویت
زفجر,رنیک,25.5,28.25,2.75,30,25,60,95,✅ جایگزین رنیک به جای زفجر,متوسط
زفجر,قشیر,25.5,29.5,4.0,30,50,60,70,✅ جایگزین قشیر به جای زفجر,متوسط
زفجر,زدشت,25.5,24.75,-0.75,30,25,60,60,⚖️ تقریباً برابر,بی‌تفاوت
زفجر,وسنا,25.5,23.5,-2.0,30,20,60,55,⚖️ تقریباً برابر,بی‌تفاوت
زفجر,کگاز,25.5,24.5,-1.0,30,20,60,65,⚖️ تقریباً برابر,بی‌تفاوت
زفجر,تلیسه,25.5,27.5,2.0,30,20,60,95,✅ جایگزین تلیسه به جای زفجر,متوسط
کاوه,رنیک,28.25,28.25,0.0,35,25,80,95,⚖️ تقریباً برابر,بی‌تفاوت
کاوه,قشیر,28.25,29.5,1.25,35,50,80,70,✅ جایگزین قشیر به جای کاوه,متوسط
کاوه,زدشت,28.25,24.75,-3.5,35,25,80,60,⚖️ تقریباً برابر,بی‌تفاوت
کاوه,وسنا,28.25,23.5,-4.75,35,20,80,55,⚖️ تقریباً برابر,بی‌تفاوت
کاوه,کگاز,28.25,24.5,-3.75,35,20,80,65,⚖️ تقریباً برابر,بی‌تفاوت
کاوه,تلیسه,28.25,27.5,-0.75,35,20,80,95,⚖️ تقریباً برابر,بی‌تفاوت
گکوثر,رنیک,25.5,28.25,2.75,30,25,60,95,✅ جایگزین رنیک به جای گکوثر,متوسط
گکوثر,قشیر,25.5,29.5,4.0,30,50,60,70,✅ جایگزین قشیر به جای گکوثر,متوسط
گکوثر,زدشت,25.5,24.75,-0.75,30,25,60,60,⚖️ تقریباً برابر,بی‌تفاوت
گکوثر,وسنا,25.5,23.5,-2.0,30,20,60,55,⚖️ تقریباً برابر,بی‌تفاوت
گکوثر,کگاز,25.5,24.5,-1.0,30,20,60,65,⚖️ تقریباً برابر,بی‌تفاوت
گکوثر,تلیسه,25.5,27.5,2.0,30,20,60,95,✅ جایگزین تلیسه به جای گکوثر,متوسط
